SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,ISIN
MANAKALUCO,EQ,6.15,6.35,6.15,6.15,6.15,6.15,3555,21918.25,13,INE859Q01017
MANAKCOAT,EQ,9.1,9.3,8.8,8.9,9.1,9.05,22022,200082.05,57,INE830Q01018
MANAKSIA,EQ,70.1,76,70.1,73.35,73.3,72,32985,2400740.75,293,INE015D01022
MANAKSTEEL,EQ,20.8,21.3,19.05,20.5,20.1,20.25,332565,6692705.25,1504,INE824Q01011
MANALIPETC,EQ,36.45,37.1,36,36.3,36.6,36.5,218094,7966325.25,1528,INE201A01024
MANAPPURAM,EQ,92.25,96.35,92.15,94.5,94.5,93.65,4991716,473769143.8,20142,INE522D01027
MANDHANA,EQ,14.05,14.45,13.7,14.15,14.25,14.35,141337,1999501.25,323,INE087J01010
MANGALAM,EQ,156.1,162.8,156.1,158.85,159,159.05,33792,5404129.65,625,INE584F01014
MANGCHEFER,EQ,70.85,71.5,69,69.95,69,70.85,25322,1784425.6,268,INE558B01017
MANGLMCEM,EQ,356.05,363.5,353,356.5,362.5,355.75,5821,2072659.15,299,INE347A01017
MANGTIMBER,EQ,28.9,28.9,27,27.35,27.25,27.7,19501,535232.2,197,INE805B01012
NRAIL,EQ,277.6,284.8,277.25,283.05,284.3,280.6,10223,2881098.6,436,INE740D01017
NRBBEARING,EQ,126,126.95,122.3,124.05,124.5,126.55,31603,3961297.75,511,INE349A01021
NSIL,EQ,885,885,871.05,879.95,880,885.1,218,191856.6,10,INE023A01030
NTL,EQ,4.25,4.25,4,4.15,4.15,4.2,23329,96743,29,INE333I01036
NTPC,EQ,157.9,160.1,157.25,159.65,159.9,157.9,4215728,668703314.8,31299,INE733E01010
NUCLEUS,EQ,340,341,338.15,338.6,338.3,338.15,52897,17936718.6,2239,INE096B01018
NUTEK,EQ,0.7,0.75,0.7,0.75,0.75,0.75,28819,20660.3,347,INE318J01027
NV20IWIN,EQ,40.81,40.85,40.75,40.75,40.75,40.89,1445,58902.45,6,INF109KB1WY5
OBEROIRLTY,EQ,345,354.45,335.3,344.7,339.95,344.95,956919,333053938.75,10258,INE093I01010
OCCL,EQ,948.05,962,938,955.75,951,936.55,795,755294,130,INE321D01016
OCL,EQ,1140,1175,1131.05,1167.3,1170,1144.8,4302,4977013.3,446,INE290B01025
OFSS,EQ,3619.9,3619.9,3570,3589.2,3590,3579.35,31631,113555008.15,820,INE881D01027
OIL,EQ,270,272,263.1,264.75,265.5,268.75,607201,162327839.1,11119,INE274J01014
OILCOUNTUB,EQ,45.45,45.8,44.3,45.05,44.8,44.85,11559,522580.95,164,INE591A01010
OISL,EQ,4.25,4.3,4.25,4.3,4.3,4.2,29812,127116,57,INE196J01019
OMAXAUTO,EQ,72.3,72.75,71,71.95,71.5,72.7,85511,6193908.4,214,INE090B01011
OMAXE,EQ,204.35,205.5,203.85,204.35,205.2,204.45,617705,126310878.75,7421,INE800H01010
OMKARCHEM,EQ,78,81.9,75.5,76.15,76.45,78.6,157203,12193513.4,1454,INE474L01016
OMMETALS,EQ,48,48.1,46.15,46.8,47.3,47.4,34061,1588165.8,149,INE239D01028
ONELIFECAP,EQ,22.5,23,21.5,22.05,21.8,22.4,3003,66534.5,27,INE912L01015
ONGC,EQ,161.05,161.45,157.5,158.1,157.75,159.95,7419236,1180244500.65,52473,INE213A01029
ONMOBILE,EQ,67,70,66.1,68.3,67.75,65.1,541582,37021860.7,4094,INE809I01019
ONWARDTEC,EQ,83.5,83.5,79.75,80.75,80.5,79.85,11548,949495.15,65,INE229A01017
PETRONET,EQ,430.9,435.65,426.5,431.9,432,434.85,2373919,1026344783.55,64616,INE347G01014
PFC,EQ,121.35,125.5,120.7,124.4,124.6,121.9,5290827,654891399.05,44686,INE134E01011
PFIZER,EQ,1798.1,1825.35,1766.1,1818.3,1815.1,1786.95,12560,22675797.9,1313,INE182A01018
PFOCUS,EQ,105.5,109,105.5,108.3,109,105.95,14103,1518587.5,169,INE367G01038
PFS,EQ,39.25,39.25,38.65,38.85,39.05,39,629355,24479955.5,2390,INE560K01014
PGEL,EQ,245.15,249,241.8,245.3,245,247.35,50117,12289152.75,948,INE457L01011
PGHH,EQ,8000,8015.05,7966.2,8002.6,8008.5,8016.75,2093,16732533.6,1142,INE179A01014
PGIL,EQ,164.7,169.4,156,162.7,165,165.25,54704,8757005.75,1267,INE940H01014
PHILIPCARB,EQ,569.85,615.8,556.1,606.2,611.5,572.7,1075863,636325547.6,26617,INE602A01015
PHOENIXLL,EQ,234.9,234.9,223.95,228.9,231.45,226.45,11882,2705752.75,390,INE455B01016
PHOENIXLTD,EQ,452.95,454,447.5,450,450,455.05,159542,71834900.55,4329,INE211B01039
PIDILITIND,EQ,804.2,804.2,780.1,781.7,780.75,806.8,589694,465129141.75,22065,INE318A01026
PIIND,EQ,811.5,819.65,801,814.1,812,811.35,86997,70563691.9,4540,INE603J01030
PILITA,EQ,15,15,14.75,14.95,14.95,14.7,9665,143577.2,21,INE600A01035
PINCON,EQ,66.9,67,66,66.5,66.75,66.45,185613,12361802.8,1470,INE675G01018
PIONEEREMB,EQ,40,41.4,39.65,40.85,40.9,40.2,10165,412260,112,INE156C01018
PITTILAM,EQ,55,55.35,53.95,54.25,54.5,54.65,29716,1623037.9,206,INE450D01021
PKTEA,EQ,150.25,153.4,145.6,150,150,144,370,55675.5,14,INE431F01018
PLASTIBLEN,EQ,589.95,620,565.65,617.15,618.9,588.4,87035,52613648.15,4070,INE083C01022
PNB,EQ,134.4,138.25,132.65,136.5,136.6,137,10796349,1468875924.3,53240,INE160A01022
PTC,EQ,91.35,92.8,91.25,92.1,92.5,92.5,1209885,111438210.65,5748,INE877F01012
PTL,EQ,45.5,45.5,44.05,45.15,45.25,44.15,13416,600526,71,INE034D01031
PUNJABCHEM,EQ,319.15,325.55,315.4,320.15,323,318.2,12127,3871271.5,368,INE277B01014
PUNJLLOYD,EQ,18.55,18.8,18.25,18.45,18.45,18.5,631846,11727663.55,2175,INE701B01021
PURVA,EQ,63.65,64,63,63.4,63.75,63.65,147998,9412074.7,749,INE323I01011
PVP,EQ,5.1,5.25,5.05,5.1,5.15,5.15,116420,594254.4,199,INE362A01016
PVR,EQ,1451.35,1458.95,1393.35,1405.35,1410.85,1450.35,238384,338504377.45,13282,INE191H01014
QGOLDHALF,EQ,1294.25,1295,1290,1293.5,1293,1294.2,223,288429.55,74,INF082J01010
QUESS,EQ,899.9,909,888,896.25,893,898.85,33539,30177440.55,1307,INE615P01015
QUICKHEAL,EQ,209.3,212,208,208.5,208.4,206.8,198037,41538138.5,3882,INE306L01010
RADAAN,EQ,1.15,1.15,1.15,1.15,1.15,1.2,1000,1150,1,INE874F01027
RADICO,EQ,121,123.7,120.7,122.05,122.05,120.95,136907,16735975.4,1301,INE944F01028
RADIOCITY,EQ,346.1,353,346.05,351.45,353,349.3,10673,3736349.85,266,INE919I01016
RAIN,EQ,107,108.7,103.25,104.05,104,107.15,1321748,139756080.1,8858,INE855B01025
RAINBOWPAP,EQ,3.3,3.55,3.3,3.4,3.5,3.45,79106,277469.2,135,INE028D01025
RAIREKMOH,EQ,101.5,107.75,100.25,105.95,105,101.55,52500,5481089,252,INE313D01013
